"","comments","comments_id","clean_comments","segged_comments"
"167",": 超怕小孩，為什麼一定要生","akata","超怕小孩，為什麼一定要生","超怕　小孩　為　什麼　一定　要生"
"168",": 結婚不是為了生小孩","nekogogogo2","結婚不是為了生小孩","結婚　不是　為　了　生小孩"
"169",": 就跟以前部分男生怕當兵各種躲一樣，會怕正常","Brioni","就跟以前部分男生怕當兵各種躲一樣，會怕正常","就　跟　以前　部分　男　生怕　當兵　各種　躲　一樣　會怕　正常"
"170",": 養不起不要害小孩，很無辜，需要很多時間跟愛心","pearlQQ","養不起不要害小孩，很無辜，需要很多時間跟愛心","養不起　不　要害　小孩　很　無辜　需要　很多　時間　跟　愛心"
"171",": 我跟我另一半都不想生 他已經結紮了~","yanshan963","我跟我另一半都不想生他已經結紮了~","我　跟　我　另一半　都　不想生　他　已經　結紮　了"
"172",": 我是從很久以前就打定主意不生(跟什麼經濟無關 就是","yanshan963","我是從很久以前就打定主意不生(跟什麼經濟無關就是","我　是從　很久以前　就　打定主意　不生　跟　什麼　經濟　無關　就是"
"173",": 不想養 也不是生不出來","yanshan963","不想養也不是生不出來","不想　養　也　不是　生不　出來"
"174",": 沒有吧，現在趨勢是結婚有共識不生","tiiyuway","沒有吧，現在趨勢是結婚有共識不生","沒有　吧　現在　趨勢　是　結婚　有　共識　不生"
"175",": 覺得生小孩不可怕，沒錢還生小孩比較可怕。雖然有時候蠻","lyf0910","覺得生小孩不可怕，沒錢還生小孩比較可怕。雖然有時候蠻","覺得　生小孩　不　可怕　沒　錢　還　生小孩　比較　可怕　雖然　有時候　蠻"
"176",": 想看看自己的孩子是怎樣，但是想到沒什麼資源給孩子就覺","lyf0910","想看看自己的孩子是怎樣，但是想到沒什麼資源給孩子就覺","想　看看　自己　的　孩子　是　怎樣　但是　想到　沒什麼　資源　給　孩子　就　覺"
"177",": 得算了，未來好好跟另一半過日子比較實在","lyf0910","得算了，未來好好跟另一半過日子比較實在","得　算了　未來　好好　跟　另一半　過日子　比較　實在"
"178",": 男的通常會被家裡給壓力 一定要生小孩  尤其是獨子","tue678","男的通常會被家裡給壓力一定要生小孩尤其是獨子","男　的　通常　會　被　家裡給　壓力　一定　要　生小孩　尤其　是　獨子"
"179",": 幹嘛管柯文哲怎麼說？他小孩怎麼長大的估計他也不知道，","kmaster","幹嘛管柯文哲怎麼說？他小孩怎麼長大的估計他也不知道，","幹嘛　管　柯文　哲　怎麼　說　他　小孩　怎麼　長大　的　估計　他　也　不　知道"
"180",": 你老公這樣你可以？","kmaster","你老公這樣你可以？","你　老公　這樣　你　可以"
"181",": 我，覺得超怕","drugwitch","我，覺得超怕","我　覺得　超怕"
"182",": 只是不想負責任而已，去戶政事務所一張紙就解決的事情","dai26","只是不想負責任而已，去戶政事務所一張紙就解決的事情","只是　不想　負責　任　而已　去　戶政事務　所　一張　紙就　解決　的　事情"
"183",": 痛跟錢都還能解決，養育孩子真的超級花時間，大概夠一個人","hypeng","痛跟錢都還能解決，養育孩子真的超級花時間，大概夠一個人","痛　跟　錢　都　還能　解決　養育　孩子　真的　超級　花　時間　大概　夠　一個　人"
"184",": 再養成2種業餘愛好，從無到一定業餘水準的程度，覺得還有","hypeng","再養成2種業餘愛好，從無到一定業餘水準的程度，覺得還有","再　養成　2　種　業餘愛好　從無到　一定　業餘　水準　的　程度　覺得　還有"
"185",": 很多不同事情想做的人，真的要三思生育孩子這件事","hypeng","很多不同事情想做的人，真的要三思生育孩子這件事","很多　不同　事情　想　做　的　人　真的　要　三思　生育　孩子　這件　事"
"186",": 4樓說的對","onizuka7kimo","4樓說的對","4　樓　說　的　對"
"187",": 沒有不想結婚 但生小孩超可怕 我連疫苗都不敢打惹","LarryST","沒有不想結婚但生小孩超可怕我連疫苗都不敢打惹","沒有　不想　結婚　但　生小孩　超　可怕　我連　疫苗　都　不敢　打　惹"
"188",": 就好像女生MC來，有的人跟沒事一樣有的人只能攤在床上，孕","srena","就好像女生MC來，有的人跟沒事一樣有的人只能攤在床上，孕","就　好像　女生　MC　來　有　的　人　跟　沒事　一樣　有　的　人　只能　攤　在　床上　孕"
"189",": 期不適每個人、每胎程度不一，即使同性別都不一定能同理好","srena","期不適每個人、每胎程度不一，即使同性別都不一定能同理好","期　不適　每個　人　每　胎　程度　不一　即使　同　性別　都　不　一定　能　同理　好"
"190",": 嗎","srena","嗎","嗎"
"191",": 結婚之後子宮就不是妳的了，修法前請三思","canis831025","結婚之後子宮就不是妳的了，修法前請三思","結婚　之後　子宮　就　不是　妳　的　了　修法　前　請　三思"
"192",": 這條法說要修修到現在還沒有下一步","canis831025","這條法說要修修到現在還沒有下一步","這條　法說　要　修修　到　現在　還　沒有　下　一步"
"193",": 立法委員根本都在混","canis831025","立法委員根本都在混","立法委員　根本　都　在　混"
"194",": 身邊長輩都認為不生小孩為什麼要結婚","Ipadhotwater","身邊長輩都認為不生小孩為什麼要結婚","身邊　長輩　都　認為　不生　小孩　為　什麼　要　結婚"
"195",": 結果同輩的朋友也有人出現這種觀念","Ipadhotwater","結果同輩的朋友也有人出現這種觀念","結果　同輩　的　朋友　也　有人　出現　這種　觀念"
"196",": 先問小孩想不想被生到再說XDD","giro3","先問小孩想不想被生到再說XDD","先問　小孩　想　不想　被　生到　再說　XDD"
"197",": 我如果是女生我也會怕","stocktonty","我如果是女生我也會怕","我　如果　是　女生　我　也　會　怕"
"198",": 遇到有家暴雄性比生小孩可怕多了","winter2683","遇到有家暴雄性比生小孩可怕多了","遇到　有　家暴　雄性　比　生小孩　可怕　多　了"
"199",": 有！","Amonle","有！","有"
"200",": 沒錢生小孩生活品質會變很差，幾乎八成以上想生小孩的人都","finis","沒錢生小孩生活品質會變很差，幾乎八成以上想生小孩的人都","沒　錢　生小孩　生活品質　會變　很　差　幾乎　八成　以上　想生　小孩　的　人　都"
"201",": 沒規劃過，孩子都生出來了，發現養育+房貸壓縮生活甚至負債","finis","沒規劃過，孩子都生出來了，發現養育+房貸壓縮生活甚至負債","沒　規劃　過　孩子　都　生　出來　了　發現　養育　房貸　壓縮　生活　甚至　負債"
"202",": 才後悔，為了錢大吵離婚的非常多！並不是什麼生小孩痛之類","finis","才後悔，為了錢大吵離婚的非常多！並不是什麼生小孩痛之類","才　後悔　為　了　錢　大吵　離婚　的　非常　多　並　不是　什麼　生小孩　痛　之類"
"203",": 無聊的問題。","finis","無聊的問題。","無聊　的　問題"
"204",": 真的懷上就會有勇氣生了!!","chunchun0229","真的懷上就會有勇氣生了!!","真的　懷上　就　會　有　勇氣　生　了"
"205",": 現在40幾歲孕婦很多","Corydoras","現在40幾歲孕婦很多","現在　40　幾歲　孕婦　很多"
"206",": 我結婚沒生小孩 怎麼了嗎","icecreamhbl","我結婚沒生小孩怎麼了嗎","我　結婚　沒　生小孩　怎麼　了　嗎"
"207",": 我拒生我驕傲","daJune","我拒生我驕傲","我　拒生　我　驕傲"
"208",": 我害怕跟別人的原生家庭扯上關係，所以不結","MDay56","我害怕跟別人的原生家庭扯上關係，所以不結","我　害怕　跟　別人　的　原生　家庭　扯　上　關係　所以　不結"
"209",": 生小孩對我來說完全沒好處","MDay56","生小孩對我來說完全沒好處","生小孩　對　我　來說　完全　沒　好處"
"210",": 生擔心10個月，養擔心一輩子才是重點，沒有共同的價值觀跟","azxc","生擔心10個月，養擔心一輩子才是重點，沒有共同的價值觀跟","生　擔心　10　個　月　養　擔心　一輩子　才　是　重點　沒有　共同　的　價值觀　跟"
"211",": 穩定的經濟基礎真的不要多一個人來這世界上受苦","azxc","穩定的經濟基礎真的不要多一個人來這世界上受苦","穩定　的　經濟基礎　真的　不要　多　一個　人來　這　世界　上　受苦"
"212",": 因為自己討厭小孩所以不太敢生，雖然說有些人會喜歡自己","cashko","因為自己討厭小孩所以不太敢生，雖然說有些人會喜歡自己","因為　自己　討厭　小孩　所以　不太敢　生　雖然　說　有些　人會　喜歡　自己"
"213",": 的，但是怕萬一連自己的都喜歡不起來那對孩子也不公平，","cashko","的，但是怕萬一連自己的都喜歡不起來那對孩子也不公平，","的　但是　怕　萬一　連　自己　的　都　喜歡　不　起來　那　對　孩子　也　不　公平"
"214",": 畢竟現實中也一堆明顯不喜歡自己孩子卻硬要生，結果孩子痛","cashko","畢竟現實中也一堆明顯不喜歡自己孩子卻硬要生，結果孩子痛","畢竟　現實　中　也　一堆　明顯　不　喜歡　自己　孩子　卻　硬　要生　結果　孩子　痛"
"215",": 苦他或她也痛苦的","cashko","苦他或她也痛苦的","苦　他　或　她　也　痛苦　的"
"216",": 我覺得男女都一樣，有必要先告知追求的人不生，不要浪費","picacuo","我覺得男女都一樣，有必要先告知追求的人不生，不要浪費","我　覺得　男女　都　一樣　有　必要　先　告知　追求　的　人　不生　不要　浪費"
"217",": 別人時間精力金錢。","picacuo","別人時間精力金錢。","別人　時間　精力　金錢"
"218",": 大愛的話可以領養啦不用怕生不出來","aqua17","大愛的話可以領養啦不用怕生不出來","大愛　的話　可以　領養　啦　不用　怕生　不　出來"
"219",": 我姑姑就是不喜歡小孩然後有點事業狂，跟姑丈結婚前就說好","cashko","我姑姑就是不喜歡小孩然後有點事業狂，跟姑丈結婚前就說好","我　姑姑　就是　不喜歡小孩　然後　有點　事業　狂　跟　姑丈　結婚　前　就　說好"
